اسم الموديل,التصنيف,الموفر (Provider),الرابط المباشر
Llama 3.1 Tulu 3 405B,كتابة (Text),N/A,https://openrouter.ai/allenai/llama-3.1-tulu-3-405b
DeepSeek: R1 Distill Llama 8B,كتابة (Text),N/A,https://openrouter.ai/deepseek/deepseek-r1-distill-llama-8b
DeepSeek: R1 Distill Qwen 1.5B,كتابة (Text),N/A,https://openrouter.ai/deepseek/deepseek-r1-distill-qwen-1.5b
DeepSeek: R1 Distill Qwen 14B,كتابة (Text),N/A,https://openrouter.ai/deepseek/deepseek-r1-distill-qwen-14b
Perplexity: Sonar Reasoning,كتابة (Text),N/A,https://openrouter.ai/perplexity/sonar-reasoning
Liquid: LFM 7B,كتابة (Text),N/A,https://openrouter.ai/liquid/lfm-7b
Liquid: LFM 3B,كتابة (Text),N/A,https://openrouter.ai/liquid/lfm-3b
Mistral: Codestral 2501,كتابة (Text),N/A,https://openrouter.ai/mistralai/codestral-2501
Inflatebot: Mag Mell R1 12B,كتابة (Text),N/A,https://openrouter.ai/inflatebot/mn-mag-mell-r1
EVA Llama 3.33 70B,كتابة (Text),N/A,https://openrouter.ai/eva-unit-01/eva-llama-3.33-70b
xAI: Grok 2 Vision 1212,كتابة (Text),N/A,https://openrouter.ai/x-ai/grok-2-vision-1212
xAI: Grok 2 1212,كتابة (Text),N/A,https://openrouter.ai/x-ai/grok-2-1212
Google: Gemini 2.0 Flash Experimental,كتابة (Text),N/A,https://openrouter.ai/google/gemini-2.0-flash-exp
Qwen: QwQ 32B Preview,كتابة (Text),N/A,https://openrouter.ai/qwen/qwq-32b-preview
Google: Gemini Experimental 1121,كتابة (Text),N/A,https://openrouter.ai/google/gemini-exp-1121
EVA Qwen2.5 72B,كتابة (Text),N/A,https://openrouter.ai/eva-unit-01/eva-qwen-2.5-72b
xAI: Grok Vision Beta,كتابة (Text),N/A,https://openrouter.ai/x-ai/grok-vision-beta
Google: Gemini Experimental 1114,كتابة (Text),N/A,https://openrouter.ai/google/gemini-exp-1114
Infermatic: Mistral Nemo Inferor 12B,كتابة (Text),N/A,https://openrouter.ai/infermatic/mn-inferor-12b
SorcererLM 8x22B,كتابة (Text),N/A,https://openrouter.ai/raifle/sorcererlm-8x22b
EVA Qwen2.5 32B,كتابة (Text),N/A,https://openrouter.ai/eva-unit-01/eva-qwen-2.5-32b
Anthropic: Claude 3.5 Haiku (2024-10-22),كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-3.5-haiku-20241022
Anthropic: Claude 3.5 Sonnet,كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-3.5-sonnet
NeverSleep: Lumimaid v0.2 70B,كتابة (Text),N/A,https://openrouter.ai/neversleep/llama-3.1-lumimaid-70b
xAI: Grok Beta,كتابة (Text),N/A,https://openrouter.ai/x-ai/grok-beta
Mistral: Ministral 8B,كتابة (Text),N/A,https://openrouter.ai/mistralai/ministral-8b
Mistral: Ministral 3B,كتابة (Text),N/A,https://openrouter.ai/mistralai/ministral-3b
xAI: Grok 2,كتابة (Text),N/A,https://openrouter.ai/x-ai/grok-2
xAI: Grok 2 mini,كتابة (Text),N/A,https://openrouter.ai/x-ai/grok-2-mini
Google: Gemini 1.5 Flash 8B,كتابة (Text),N/A,https://openrouter.ai/google/gemini-flash-1.5-8b
EVA Qwen2.5 14B,كتابة (Text),N/A,https://openrouter.ai/eva-unit-01/eva-qwen-2.5-14b
Liquid: LFM 40B MoE,كتابة (Text),N/A,https://openrouter.ai/liquid/lfm-40b
Magnum v2 72B,كتابة (Text),N/A,https://openrouter.ai/anthracite-org/magnum-v2-72b
Meta: Llama 3.2 90B Vision Instruct,كتابة (Text),N/A,https://openrouter.ai/meta-llama/llama-3.2-90b-vision-instruct
NeverSleep: Lumimaid v0.2 8B,كتابة (Text),N/A,https://openrouter.ai/neversleep/llama-3.1-lumimaid-8b
OpenAI: o1-mini,كتابة (Text),N/A,https://openrouter.ai/openai/o1-mini
OpenAI: o1-mini (2024-09-12),كتابة (Text),N/A,https://openrouter.ai/openai/o1-mini-2024-09-12
OpenAI: o1-preview,كتابة (Text),N/A,https://openrouter.ai/openai/o1-preview
OpenAI: o1-preview (2024-09-12),كتابة (Text),N/A,https://openrouter.ai/openai/o1-preview-2024-09-12
Mistral: Pixtral 12B,كتابة (Text),N/A,https://openrouter.ai/mistralai/pixtral-12b
Reflection 70B,كتابة (Text),N/A,https://openrouter.ai/mattshumer/reflection-70b
Qwen: Qwen2.5-VL 7B Instruct,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen-2.5-vl-7b-instruct
Google: Gemini 1.5 Flash Experimental,كتابة (Text),N/A,https://openrouter.ai/google/gemini-flash-1.5-exp
Lynn: Llama 3 Soliloquy 7B v3 32K,كتابة (Text),N/A,https://openrouter.ai/lynn/soliloquy-v3
Yi 1.5 34B Chat,كتابة (Text),N/A,https://openrouter.ai/01-ai/yi-1.5-34b-chat
AI21: Jamba 1.5 Mini,كتابة (Text),N/A,https://openrouter.ai/ai21/jamba-1-5-mini
AI21: Jamba 1.5 Large,كتابة (Text),N/A,https://openrouter.ai/ai21/jamba-1-5-large
Microsoft: Phi-3.5 Mini 128K Instruct,كتابة (Text),N/A,https://openrouter.ai/microsoft/phi-3.5-mini-128k-instruct
OpenAI: ChatGPT-4o,كتابة (Text),N/A,https://openrouter.ai/openai/chatgpt-4o-latest
Aetherwiing: Starcannon 12B,كتابة (Text),N/A,https://openrouter.ai/aetherwiing/mn-starcannon-12b
Mistral Nemo 12B Celeste,كتابة (Text),N/A,https://openrouter.ai/nothingiisreal/mn-celeste-12b
Meta: Llama 3.1 405B (base),كتابة (Text),N/A,https://openrouter.ai/meta-llama/llama-3.1-405b
01.AI: Yi Large FC,كتابة (Text),N/A,https://openrouter.ai/01-ai/yi-large-fc
01.AI: Yi Large Turbo,كتابة (Text),N/A,https://openrouter.ai/01-ai/yi-large-turbo
01.AI: Yi Vision,كتابة (Text),N/A,https://openrouter.ai/01-ai/yi-vision
Perplexity: Llama 3.1 Sonar 8B Online,كتابة (Text),N/A,https://openrouter.ai/perplexity/llama-3.1-sonar-small-128k-online
Perplexity: Llama 3.1 Sonar 70B Online,كتابة (Text),N/A,https://openrouter.ai/perplexity/llama-3.1-sonar-large-128k-online
Google: Gemini 1.5 Pro Experimental,كتابة (Text),N/A,https://openrouter.ai/google/gemini-pro-1.5-exp
Meta: Llama 3.1 405B Instruct,كتابة (Text),N/A,https://openrouter.ai/meta-llama/llama-3.1-405b-instruct
Dolphin Llama 3 70B 🐬,كتابة (Text),N/A,https://openrouter.ai/cognitivecomputations/dolphin-llama-3-70b
Mistral: Codestral Mamba,كتابة (Text),N/A,https://openrouter.ai/mistralai/codestral-mamba
Qwen 2 7B Instruct,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen-2-7b-instruct
Nous: Hermes 2 Theta 8B,كتابة (Text),N/A,https://openrouter.ai/nousresearch/hermes-2-theta-llama-3-8b
Magnum 72B,كتابة (Text),N/A,https://openrouter.ai/alpindale/magnum-72b
Google: Gemma 2 9B,كتابة (Text),N/A,https://openrouter.ai/google/gemma-2-9b-it
Sao10K: Llama 3 Stheno 8B v3.3 32K,كتابة (Text),N/A,https://openrouter.ai/sao10k/l3-stheno-8b
AI21: Jamba Instruct,كتابة (Text),N/A,https://openrouter.ai/ai21/jamba-instruct
01.AI: Yi Large,كتابة (Text),N/A,https://openrouter.ai/01-ai/yi-large
NVIDIA: Nemotron-4 340B Instruct,كتابة (Text),N/A,https://openrouter.ai/nvidia/nemotron-4-340b-instruct
Anthropic: Claude 3.5 Sonnet (2024-06-20),كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-3.5-sonnet-20240620
Microsoft: Phi-3 Medium 4K Instruct,كتابة (Text),N/A,https://openrouter.ai/microsoft/phi-3-medium-4k-instruct
StarCoder2 15B Instruct,كتابة (Text),N/A,https://openrouter.ai/bigcode/starcoder2-15b-instruct
Dolphin 2.9.2 Mixtral 8x22B 🐬,كتابة (Text),N/A,https://openrouter.ai/cognitivecomputations/dolphin-mixtral-8x22b
Qwen 2 72B Instruct,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen-2-72b-instruct
OpenChat 3.6 8B,كتابة (Text),N/A,https://openrouter.ai/openchat/openchat-8b
Mistral: Mistral 7B Instruct v0.3,كتابة (Text),N/A,https://openrouter.ai/mistralai/mistral-7b-instruct-v0.3
Mistral: Mistral 7B Instruct,كتابة (Text),N/A,https://openrouter.ai/mistralai/mistral-7b-instruct
Microsoft: Phi-3 Mini 128K Instruct,كتابة (Text),N/A,https://openrouter.ai/microsoft/phi-3-mini-128k-instruct
Microsoft: Phi-3 Medium 128K Instruct,كتابة (Text),N/A,https://openrouter.ai/microsoft/phi-3-medium-128k-instruct
NeverSleep: Llama 3 Lumimaid 70B,كتابة (Text),N/A,https://openrouter.ai/neversleep/llama-3-lumimaid-70b
DeepSeek V2.5,كتابة (Text),N/A,https://openrouter.ai/deepseek/deepseek-chat-v2.5
Perplexity: Llama3 Sonar 70B Online,كتابة (Text),N/A,https://openrouter.ai/perplexity/llama-3-sonar-large-32k-online
Google: Gemini 1.5 Flash,كتابة (Text),N/A,https://openrouter.ai/google/gemini-flash-1.5
Perplexity: Llama3 Sonar 70B,كتابة (Text),N/A,https://openrouter.ai/perplexity/llama-3-sonar-large-32k-chat
Perplexity: Llama3 Sonar 8B Online,كتابة (Text),N/A,https://openrouter.ai/perplexity/llama-3-sonar-small-32k-online
Perplexity: Llama3 Sonar 8B,كتابة (Text),N/A,https://openrouter.ai/perplexity/llama-3-sonar-small-32k-chat
Meta: Llama 3 8B (Base),كتابة (Text),N/A,https://openrouter.ai/meta-llama/llama-3-8b
Meta: Llama 3 70B (Base),كتابة (Text),N/A,https://openrouter.ai/meta-llama/llama-3-70b
Meta: LlamaGuard 2 8B,كتابة (Text),N/A,https://openrouter.ai/meta-llama/llama-guard-2-8b
LLaVA v1.6 34B,كتابة (Text),N/A,https://openrouter.ai/liuhaotian/llava-yi-34b
OLMo 7B Instruct,كتابة (Text),N/A,https://openrouter.ai/allenai/olmo-7b-instruct
Qwen 1.5 7B Chat,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen-7b-chat
Qwen 1.5 14B Chat,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen-14b-chat
Qwen 1.5 110B Chat,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen-110b-chat
Qwen 1.5 32B Chat,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen-32b-chat
Qwen 1.5 4B Chat,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen-4b-chat
Qwen 1.5 72B Chat,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen-72b-chat
NeverSleep: Llama 3 Lumimaid 8B,كتابة (Text),N/A,https://openrouter.ai/neversleep/llama-3-lumimaid-8b
Snowflake: Arctic Instruct,كتابة (Text),N/A,https://openrouter.ai/snowflake/snowflake-arctic-instruct
Fireworks: FireLLaVA 13B,كتابة (Text),N/A,https://openrouter.ai/fireworks/firellava-13b
Lynn: Llama 3 Soliloquy 8B v2,كتابة (Text),N/A,https://openrouter.ai/lynn/soliloquy-l3
Fimbulvetr 11B v2,كتابة (Text),N/A,https://openrouter.ai/sao10k/fimbulvetr-11b-v2
WizardLM-2 7B,كتابة (Text),N/A,https://openrouter.ai/microsoft/wizardlm-2-7b
Zephyr 141B-A35B,كتابة (Text),N/A,https://openrouter.ai/huggingfaceh4/zephyr-orpo-141b-a35b
Mistral: Mixtral 8x22B (base),كتابة (Text),N/A,https://openrouter.ai/mistralai/mixtral-8x22b
Google: Gemini 1.5 Pro,كتابة (Text),N/A,https://openrouter.ai/google/gemini-pro-1.5
Cohere: Command R+,كتابة (Text),N/A,https://openrouter.ai/cohere/command-r-plus
Cohere: Command R+ (04-2024),كتابة (Text),N/A,https://openrouter.ai/cohere/command-r-plus-04-2024
Databricks: DBRX 132B Instruct,كتابة (Text),N/A,https://openrouter.ai/databricks/dbrx-instruct
Midnight Rose 70B,كتابة (Text),N/A,https://openrouter.ai/sophosympatheia/midnight-rose-70b
Cohere: Command,كتابة (Text),N/A,https://openrouter.ai/cohere/command
Cohere: Command R,كتابة (Text),N/A,https://openrouter.ai/cohere/command-r
Anthropic: Claude 3 Sonnet,كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-3-sonnet
Anthropic: Claude 3 Opus,كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-3-opus
Cohere: Command R (03-2024),كتابة (Text),N/A,https://openrouter.ai/cohere/command-r-03-2024
Google: Gemma 7B,كتابة (Text),N/A,https://openrouter.ai/google/gemma-7b-it
Nous: Hermes 2 Mistral 7B DPO,كتابة (Text),N/A,https://openrouter.ai/nousresearch/nous-hermes-2-mistral-7b-dpo
Meta: CodeLlama 70B Instruct,كتابة (Text),N/A,https://openrouter.ai/meta-llama/codellama-70b-instruct
RWKV v5: Eagle 7B,كتابة (Text),N/A,https://openrouter.ai/recursal/eagle-7b
Yi 34B 200K,كتابة (Text),N/A,https://openrouter.ai/01-ai/yi-34b-200k
Nous: Hermes 2 Mixtral 8x7B DPO,كتابة (Text),N/A,https://openrouter.ai/nousresearch/nous-hermes-2-mixtral-8x7b-dpo
Nous: Hermes 2 Mixtral 8x7B SFT,كتابة (Text),N/A,https://openrouter.ai/nousresearch/nous-hermes-2-mixtral-8x7b-sft
Mistral Tiny,كتابة (Text),N/A,https://openrouter.ai/mistralai/mistral-tiny
Mistral Medium,كتابة (Text),N/A,https://openrouter.ai/mistralai/mistral-medium
Mistral Small,كتابة (Text),N/A,https://openrouter.ai/mistralai/mistral-small
Bagel 34B v0.2,كتابة (Text),N/A,https://openrouter.ai/jondurbin/bagel-34b
Nous: Hermes 2 Yi 34B,كتابة (Text),N/A,https://openrouter.ai/nousresearch/nous-hermes-yi-34b
Noromaid Mixtral 8x7B Instruct,كتابة (Text),N/A,https://openrouter.ai/neversleep/noromaid-mixtral-8x7b-instruct
Mistral: Mistral 7B Instruct v0.2,كتابة (Text),N/A,https://openrouter.ai/mistralai/mistral-7b-instruct-v0.2
Dolphin 2.6 Mixtral 8x7B 🐬,كتابة (Text),N/A,https://openrouter.ai/cognitivecomputations/dolphin-mixtral-8x7b
RWKV v5 World 3B,كتابة (Text),N/A,https://openrouter.ai/rwkv/rwkv-5-world-3b
RWKV v5 3B AI Town,كتابة (Text),N/A,https://openrouter.ai/recursal/rwkv-5-3b-ai-town
StripedHyena Nous 7B,كتابة (Text),N/A,https://openrouter.ai/togethercomputer/stripedhyena-nous-7b
StripedHyena Hessian 7B (base),كتابة (Text),N/A,https://openrouter.ai/togethercomputer/stripedhyena-hessian-7b
Psyfighter v2 13B,كتابة (Text),N/A,https://openrouter.ai/koboldai/psyfighter-13b-2
MythoMist 7B,كتابة (Text),N/A,https://openrouter.ai/gryphe/mythomist-7b
Yi 34B Chat,كتابة (Text),N/A,https://openrouter.ai/01-ai/yi-34b-chat
Yi 6B (base),كتابة (Text),N/A,https://openrouter.ai/01-ai/yi-6b
Nous: Hermes 2 Vision 7B (alpha),كتابة (Text),N/A,https://openrouter.ai/nousresearch/nous-hermes-2-vision-7b
Yi 34B (base),كتابة (Text),N/A,https://openrouter.ai/01-ai/yi-34b
Cinematika 7B (alpha),كتابة (Text),N/A,https://openrouter.ai/openrouter/cinematika-7b
Nous: Capybara 7B,كتابة (Text),N/A,https://openrouter.ai/nousresearch/nous-capybara-7b
Psyfighter 13B,كتابة (Text),N/A,https://openrouter.ai/jebcarter/psyfighter-13b
OpenChat 3.5 7B,كتابة (Text),N/A,https://openrouter.ai/openchat/openchat-7b
Noromaid 20B,كتابة (Text),N/A,https://openrouter.ai/neversleep/noromaid-20b
Neural Chat 7B v3.1,كتابة (Text),N/A,https://openrouter.ai/intel/neural-chat-7b
Anthropic: Claude v2,كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-2
Anthropic: Claude Instant v1.1,كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-instant-1.1
Anthropic: Claude v2.1,كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-2.1
OpenHermes 2.5 Mistral 7B,كتابة (Text),N/A,https://openrouter.ai/teknium/openhermes-2.5-mistral-7b
LLaVA 13B,كتابة (Text),N/A,https://openrouter.ai/liuhaotian/llava-13b
Nous: Capybara 34B,كتابة (Text),N/A,https://openrouter.ai/nousresearch/nous-capybara-34b
OpenAI: GPT-4 Vision,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-4-vision-preview
lzlv 70B,كتابة (Text),N/A,https://openrouter.ai/lizpreciatior/lzlv-70b-fp16-hf
Toppy M 7B,كتابة (Text),N/A,https://openrouter.ai/undi95/toppy-m-7b
Auto Router,كتابة (Text),N/A,https://openrouter.ai/openrouter/auto
OpenAI: GPT-3.5 Turbo 16k (older v1106),كتابة (Text),N/A,https://openrouter.ai/openai/gpt-3.5-turbo-1106
Google: PaLM 2 Chat 32k,كتابة (Text),N/A,https://openrouter.ai/google/palm-2-chat-bison-32k
Google: PaLM 2 Code Chat 32k,كتابة (Text),N/A,https://openrouter.ai/google/palm-2-codechat-bison-32k
OpenHermes 2 Mistral 7B,كتابة (Text),N/A,https://openrouter.ai/teknium/openhermes-2-mistral-7b
Mistral OpenOrca 7B,كتابة (Text),N/A,https://openrouter.ai/open-orca/mistral-7b-openorca
Airoboros 70B,كتابة (Text),N/A,https://openrouter.ai/jondurbin/airoboros-l2-70b
Nous: Hermes 70B,كتابة (Text),N/A,https://openrouter.ai/nousresearch/nous-hermes-llama2-70b
Xwin 70B,كتابة (Text),N/A,https://openrouter.ai/xwin-lm/xwin-lm-70b
Synthia 70B,كتابة (Text),N/A,https://openrouter.ai/migtissera/synthia-70b
Pygmalion: Mythalion 13B,كتابة (Text),N/A,https://openrouter.ai/pygmalionai/mythalion-13b
OpenAI: GPT-4 32k,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-4-32k
OpenAI: GPT-4 32k (older v0314),كتابة (Text),N/A,https://openrouter.ai/openai/gpt-4-32k-0314
Meta: CodeLlama 34B Instruct,كتابة (Text),N/A,https://openrouter.ai/meta-llama/codellama-34b-instruct
Nous: Hermes 13B,كتابة (Text),N/A,https://openrouter.ai/nousresearch/nous-hermes-llama2-13b
Phind: CodeLlama 34B v2,كتابة (Text),N/A,https://openrouter.ai/phind/phind-codellama-34b
Hugging Face: Zephyr 7B,كتابة (Text),N/A,https://openrouter.ai/huggingfaceh4/zephyr-7b-beta
Anthropic: Claude Instant v1.0,كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-instant-1.0
Anthropic: Claude Instant v1,كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-instant-1
Anthropic: Claude v1,كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-1
Anthropic: Claude v2.0,كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-2.0
Anthropic: Claude v1.2,كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-1.2
Google: PaLM 2 Chat,كتابة (Text),N/A,https://openrouter.ai/google/palm-2-chat-bison
Google: PaLM 2 Code Chat,كتابة (Text),N/A,https://openrouter.ai/google/palm-2-codechat-bison
Meta: Llama 2 13B Chat,كتابة (Text),N/A,https://openrouter.ai/meta-llama/llama-2-13b-chat
Meta: Llama 2 70B Chat,كتابة (Text),N/A,https://openrouter.ai/meta-llama/llama-2-70b-chat
OpenAI: GPT-3.5 Turbo (older v0301),كتابة (Text),N/A,https://openrouter.ai/openai/gpt-3.5-turbo-0301
OpenAI: GPT-3.5 Turbo 16k,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-3.5-turbo-0125
